Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Day of Week
2020-05-26,9099.75,9161.65,8996.65,9029.05,654959960.0,30871.59,Tuesday
2020-05-27,9082.2,9334.0,9004.25,9314.95,763492487.0,34603.88,Wednesday
2020-05-28,9364.95,9511.25,9336.5,9490.1,837911425.0,37761.91,Thursday
2020-05-29,9422.2,9598.85,9376.9,9580.3,967005438.0,45006.25,Friday
2020-06-01,9726.85,9931.6,9706.95,9826.15,794183122.0,38096.92,Monday
2020-06-02,9880.85,9995.6,9824.05,9979.1,770192848.0,36723.11,Tuesday
2020-06-03,10108.3,10176.2,10035.55,10061.55,794664422.0,38343.61,Wednesday
2020-06-04,10054.25,10123.85,9944.25,10029.1,775106567.0,36399.04,Thursday
2020-06-05,10093.8,10177.8,10040.75,10142.15,987122302.0,37824.63,Friday
2020-06-08,10326.75,10328.5,10120.25,10167.45,936485541.0,37819.06,Monday
2020-06-09,10181.15,10291.15,10021.45,10046.65,754217460.0,36201.05,Tuesday
2020-06-10,10072.6,10148.75,10036.85,10116.15,632383068.0,28485.47,Wednesday
2020-06-11,10094.1,10112.05,9885.05,9902.0,715453486.0,30813.85,Thursday
2020-06-12,9544.95,9996.05,9544.35,9972.9,796306399.0,36505.77,Friday
2020-06-15,9919.35,9943.35,9726.35,9813.7,716053036.0,31926.65,Monday
2020-06-16,10014.8,10046.15,9728.5,9914.0,899895044.0,36257.89,Tuesday
2020-06-17,9876.7,10003.6,9833.8,9881.15,685418390.0,30700.69,Wednesday
2020-06-18,9863.25,10111.2,9845.05,10091.65,622895963.0,28594.32,Thursday
2020-06-19,10119.0,10272.4,10072.65,10244.4,892096343.0,48103.56,Friday
2020-06-22,10318.75,10393.65,10277.6,10311.2,685385093.0,35529.8,Monday
2020-06-23,10347.95,10484.7,10301.75,10471.0,669195109.0,34148.13,Tuesday
2020-06-24,10529.25,10553.15,10281.95,10305.3,854799801.0,41394.45,Wednesday
2020-06-25,10235.55,10361.8,10194.5,10288.9,994190886.0,41726.07,Thursday
2020-06-26,10378.9,10409.85,10311.25,10383.0,671910159.0,31841.68,Friday
2020-06-29,10311.95,10337.95,10223.6,10312.4,574544482.0,27019.46,Monday
2020-06-30,10382.6,10401.05,10267.35,10302.1,556238560.0,27342.55,Tuesday
2020-07-01,10323.8,10447.05,10299.6,10430.05,573550127.0,28736.28,Wednesday
2020-07-02,10493.05,10598.2,10485.55,10551.7,597423931.0,31235.17,Thursday
2020-07-03,10614.95,10631.3,10562.65,10607.35,525190704.0,25186.39,Friday
2020-07-06,10723.85,10811.4,10695.1,10763.65,571212914.0,29857.54,Monday
2020-07-07,10802.85,10813.8,10689.7,10799.65,636764929.0,36502.37,Tuesday
2020-07-08,10818.65,10847.85,10676.55,10705.75,767941333.0,37676.34,Wednesday
2020-07-09,10755.55,10836.85,10733.0,10813.45,618652409.0,31315.87,Thursday
2020-07-10,10764.1,10819.4,10713.0,10768.05,590705425.0,31557.58,Friday
2020-07-13,10851.85,10894.05,10756.05,10802.7,554050579.0,30606.3,Monday
2020-07-14,10750.85,10755.65,10562.9,10607.35,532368699.0,30902.47,Tuesday
2020-07-15,10701.0,10827.45,10577.75,10618.2,715901258.0,42376.03,Wednesday
2020-07-16,10706.2,10755.3,10595.2,10739.95,694402635.0,41453.95,Thursday
